1 1:60.98 2:62.09 3:60.880001 4:61.950001 
1 1:60.299999 2:60.990002 3:60.25 4:60.990002 
1 1:59.810001 2:60.360001 3:59.349998 4:60.18 
0 1:59.73 2:60.34 3:59.459999 4:60.25 
1 1:59.389999 2:59.639999 3:59.009998 4:59.470001 
1 1:58.43 2:59.220001 3:57.900002 4:59.200001 
1 1:58.630001 2:59.169998 3:58.330002 4:58.700001 
1 1:58.82 2:58.889999 3:57.889999 4:58.16 
0 1:60.50 2:60.50 3:59.049999 4:59.049999 
0 1:60.689999 2:61.450001 3:60.59 4:61.27 
1 1:60.00 2:61.139999 3:59.950001 4:60.900002 
1 1:59.07 2:59.950001 3:59.049999 4:59.720001 
1 1:58.639999 2:59.25 3:58.599998 4:58.82 
0 1:59.32 2:59.389999 3:58.880001 4:59.169998 
0 1:58.619999 2:59.380001 3:58.610001 4:59.32 
1 1:58.84 2:59.23 3:58.310001 4:58.439999 
0 1:58.799999 2:59.32 3:58.799999 4:58.860001 
0 1:59.459999 2:59.68 3:58.529999 4:58.990002 
0 1:58.970001 2:59.740002 3:58.950001 4:59.459999 
1 1:59.59 2:59.68 3:58.16 4:58.720001 
0 1:59.759998 2:60.880001 3:59.549999 4:59.990002 
1 1:61.00 2:61.00 3:58.57 4:59.740002 
0 1:62.009998 2:62.009998 3:61.02 4:61.25 
0 1:62.889999 2:63.68 3:62.869999 4:63.23 
0 1:62.630001 2:63.279999 3:61.619999 4:63.240002 
1 1:63.25 2:63.740002 3:62.360001 4:62.400002 
0 1:62.470001 2:63.369999 3:62.18 4:62.919998 
1 1:62.740002 2:62.889999 3:61.919998 4:62.610001 
0 1:64.550003 2:64.900002 3:63.110001 4:63.380001 
0 1:63.59 2:65.25 3:63.57 4:64.839996 
1 1:63.23 2:63.849998 3:63.16 4:63.41 
1 1:63.310001 2:63.470001 3:62.759998 4:63.189999 
0 1:63.349998 2:63.869999 3:62.939999 4:63.529999 
1 1:62.82 2:63.709999 3:62.77 4:63.459999 
1 1:62.759998 2:63.130001 3:62.48 4:63.029999 
1 1:62.59 2:62.799999 3:62.200001 4:62.48 
0 1:63.220001 2:63.41 3:62.77 4:62.91 
0 1:63.380001 2:63.439999 3:62.860001 4:63.189999 
0 1:63.27 2:63.48 3:62.459999 4:63.369999 
1 1:62.50 2:63.139999 3:62.43 4:62.970001 
1 1:62.25 2:62.84 3:61.970001 4:62.299999 
0 1:61.860001 2:63.009998 3:61.799999 4:62.529999 
