1 1:89.050003 2:89.230003 3:86.269997 4:86.730003 
0 1:88.889999 2:90.269997 3:88.889999 4:89.769997 
1 1:87.559998 2:89.459999 3:86.50 4:88.550003 
1 1:84.709999 2:88.120003 3:84.519997 4:87.669998 
1 1:83.209999 2:84.879997 3:82.82 4:84.800003 
1 1:84.980003 2:85.080002 3:82.129997 4:83.120003 
0 1:83.00 2:84.93 3:82.589996 4:84.830002 
1 1:81.900002 2:83.669998 3:80.720001 4:82.860001 
1 1:81.419998 2:83.260002 3:80.00 4:82.269997 
0 1:82.470001 2:83.470001 3:82.099998 4:82.779999 
1 1:82.339996 2:83.199997 3:81.809998 4:82.43 
0 1:83.00 2:83.379997 3:82.459999 4:82.75 
0 1:81.470001 2:83.00 3:80.510002 4:82.959999 
1 1:79.129997 2:81.860001 3:79.089996 4:81.529999 
1 1:79.50 2:79.57 3:78.720001 4:78.779999 
0 1:78.489998 2:82.150002 3:77.900002 4:79.470001 
1 1:77.660004 2:78.900002 3:77.480003 4:78.849998 
1 1:78.00 2:78.290001 3:77.309998 4:77.769997 
0 1:79.209999 2:80.400002 3:77.650002 4:78.239998 
1 1:75.709999 2:78.099998 3:75.599998 4:77.830002 
1 1:74.519997 2:75.330002 3:74.139999 4:75.230003 
1 1:73.339996 2:75.419998 3:73.290001 4:74.970001 
1 1:71.239998 2:73.620003 3:70.870003 4:73.18 
1 1:72.459999 2:73.099998 3:71.769997 4:72.709999 
1 1:71.379997 2:72.589996 3:70.879997 4:72.57 
1 1:69.699997 2:71.050003 3:69.120003 4:70.260002 
1 1:70.959999 2:71.230003 3:69.57 4:69.660004 
0 1:71.550003 2:72.940002 3:70.910004 4:70.959999 
0 1:72.239998 2:72.849998 3:70.660004 4:71.43 
0 1:72.080002 2:72.309998 3:71.440002 4:72.220001 
1 1:71.220001 2:72.400002 3:71.07 4:71.779999 
1 1:71.470001 2:72.269997 3:70.629997 4:71.120003 
0 1:70.50 2:72.879997 3:70.449997 4:71.129997 
0 1:73.419998 2:73.989998 3:72.32 4:72.400002 
0 1:74.879997 2:75.040001 3:73.50 4:73.610001 
0 1:74.330002 2:75.050003 3:73.870003 4:74.559998 
0 1:74.230003 2:75.309998 3:72.82 4:75.290001 
1 1:72.040001 2:73.519997 3:71.779999 4:73.459999 
1 1:72.449997 2:73.169998 3:71.599998 4:72.110001 
1 1:72.330002 2:73.290001 3:71.900002 4:71.940002 
0 1:73.18 2:73.699997 3:71.699997 4:72.309998 
0 1:71.010002 2:73.190002 3:70.139999 4:72.959999 
