1 1:65.68 2:65.790001 3:64.57 4:65.120003 
0 1:65.470001 2:65.790001 3:65.169998 4:65.68 
1 1:65.629997 2:66.059998 3:65.300003 4:65.379997 
0 1:65.129997 2:65.949997 3:64.830002 4:65.779999 
1 1:64.690002 2:65.110001 3:64.330002 4:65.00 
1 1:65.190002 2:65.239998 3:64.459999 4:64.610001 
0 1:65.43 2:65.68 3:64.790001 4:64.870003 
0 1:66.970001 2:67.32 3:65.25 4:65.459999 
0 1:67.669998 2:67.93 3:66.510002 4:66.910004 
0 1:67.550003 2:67.839996 3:67.169998 4:67.480003 
1 1:67.57 2:67.800003 3:67.199997 4:67.400002 
0 1:67.989998 2:68.010002 3:67.18 4:67.910004 
1 1:67.93 2:68.309998 3:67.209999 4:67.699997 
0 1:67.93 2:68.199997 3:67.540001 4:68.00 
1 1:67.68 2:68.32 3:67.040001 4:67.93 
1 1:68.040001 2:68.599998 3:67.080002 4:67.32 
0 1:67.660004 2:68.610001 3:67.629997 4:68.279999 
1 1:68.790001 2:68.790001 3:67.519997 4:67.57 
0 1:68.599998 2:68.940002 3:68.110001 4:68.769997 
1 1:69.379997 2:69.440002 3:68.389999 4:68.589996 
0 1:68.949997 2:69.900002 3:68.949997 4:69.309998 
1 1:67.279999 2:69.949997 3:67.07 4:69.110001 
1 1:64.32 2:67.260002 3:64.309998 4:66.75 
1 1:65.309998 2:65.970001 3:64.900002 4:65.709999 
1 1:64.760002 2:65.480003 3:64.529999 4:65.419998 
1 1:63.48 2:64.690002 3:63.310001 4:63.639999 
1 1:63.400002 2:63.880001 3:63.07 4:63.290001 
0 1:63.32 2:63.810001 3:62.970001 4:63.349998 
0 1:63.91 2:64.50 3:62.919998 4:63.459999 
0 1:63.560001 2:64.290001 3:63.560001 4:63.84 
1 1:62.650002 2:64.75 3:62.650002 4:63.59 
1 1:64.160004 2:64.510002 3:61.470001 4:62.84 
0 1:65.43 2:65.739998 3:65.089996 4:65.589996 
1 1:67.559998 2:67.559998 3:65.43 4:65.519997 
0 1:67.690002 2:68.190002 3:67.529999 4:67.760002 
1 1:66.660004 2:67.260002 3:65.830002 4:67.18 
0 1:67.190002 2:67.620003 3:66.470001 4:67.279999 
1 1:67.93 2:68.00 3:67.169998 4:67.199997 
0 1:68.989998 2:68.989998 3:67.809998 4:67.900002 
0 1:68.330002 2:69.50 3:68.080002 4:68.339996 
1 1:67.019997 2:68.239998 3:66.93 4:67.690002 
1 1:66.43 2:66.75 3:65.849998 4:66.540001 
