1 1:102.68 2:104.849998 3:102.650002 4:103.889999 
1 1:102.470001 2:103.129997 3:102.43 4:102.910004 
1 1:102.190002 2:103.860001 3:101.769997 4:102.389999 
1 1:101.50 2:102.410004 3:100.879997 4:102.199997 
1 1:103.120003 2:103.160004 3:100.790001 4:100.849998 
0 1:102.339996 2:102.550003 3:101.220001 4:102.040001 
0 1:101.510002 2:103.110001 3:101.260002 4:102.57 
1 1:101.360001 2:101.949997 3:99.720001 4:100.980003 
0 1:106.309998 2:106.440002 3:102.190002 4:102.269997 
0 1:106.330002 2:107.279999 3:105.610001 4:106.050003 
0 1:107.190002 2:108.040001 3:105.949997 4:106.110001 
0 1:106.760002 2:107.889999 3:106.68 4:107.300003 
1 1:107.239998 2:107.75 3:106.639999 4:106.779999 
0 1:106.349998 2:108.169998 3:105.43 4:107.980003 
1 1:106.370003 2:107.099998 3:105.720001 4:105.910004 
1 1:105.739998 2:106.43 3:103.970001 4:105.089996 
0 1:105.32 2:107.190002 3:104.769997 4:105.540001 
1 1:103.50 2:105.68 3:103.059998 4:105.43 
1 1:103.099998 2:105.660004 3:103.010002 4:103.489998 
1 1:105.169998 2:105.43 3:100.410004 4:102.57 
0 1:105.510002 2:106.93 3:104.120003 4:105.709999 
0 1:109.519997 2:109.519997 3:103.18 4:105.709999 
0 1:113.080002 2:114.309998 3:108.559998 4:109.220001 
0 1:115.50 2:116.160004 3:115.199997 4:115.93 
1 1:114.599998 2:115.32 3:114.110001 4:115.190002 
1 1:113.589996 2:113.620003 3:112.959999 4:112.980003 
0 1:113.160004 2:113.739998 3:112.019997 4:113.269997 
1 1:114.730003 2:115.019997 3:112.230003 4:112.910004 
0 1:117.190002 2:117.459999 3:114.57 4:115.150002 
0 1:116.949997 2:117.389999 3:116.209999 4:117.190002 
1 1:116.040001 2:117.07 3:115.309998 4:116.129997 
1 1:116.730003 2:117.43 3:115.239998 4:115.400002 
0 1:116.150002 2:116.260002 3:115.470001 4:115.669998 
0 1:116.400002 2:117.150002 3:116.089996 4:116.75 
0 1:116.129997 2:118.089996 3:116.129997 4:116.75 
1 1:114.00 2:115.790001 3:113.599998 4:115.709999 
1 1:115.059998 2:115.370003 3:113.720001 4:114.830002 
0 1:114.43 2:115.330002 3:113.93 4:115.32 
1 1:114.349998 2:114.739998 3:113.349998 4:114.150002 
1 1:112.989998 2:113.809998 3:112.879997 4:113.339996 
0 1:112.970001 2:114.589996 3:112.709999 4:113.349998 
1 1:111.309998 2:112.760002 3:110.870003 4:112.699997 
