1 1:171.059998 2:174.419998 3:169.389999 4:174.199997 
1 1:168.00 2:175.00 3:168.00 4:170.619995 
1 1:168.270004 2:169.979996 3:165.979996 4:167.800003 
0 1:165.240005 2:169.649994 3:164.270004 4:168.389999 
1 1:163.610001 2:165.75 3:162.940002 4:165.710007 
1 1:161.520004 2:165.020004 3:161.520004 4:163.960007 
1 1:159.919998 2:162.910004 3:159.229996 4:162.119995 
1 1:164.729996 2:165.080002 3:158.729996 4:159.50 
0 1:169.279999 2:170.320007 3:162.699997 4:164.490005 
0 1:169.600006 2:171.809998 3:168.50 4:170.149994 
1 1:170.330002 2:171.490005 3:167.929993 4:168.330002 
0 1:168.809998 2:170.919998 3:167.550003 4:170.699997 
1 1:169.660004 2:171.309998 3:166.639999 4:168.669998 
0 1:172.690002 2:173.039993 3:167.570007 4:170.00 
0 1:172.699997 2:176.270004 3:172.699997 4:173.300003 
1 1:174.270004 2:175.259995 3:171.860001 4:172.00 
0 1:171.550003 2:174.520004 3:170.369995 4:174.399994 
1 1:172.199997 2:173.330002 3:170.75 4:172.00 
1 1:170.619995 2:173.369995 3:167.529999 4:171.949997 
1 1:177.869995 2:178.720001 3:169.860001 4:170.130005 
0 1:179.830002 2:183.259995 3:176.75 4:177.270004 
0 1:184.059998 2:184.690002 3:179.160004 4:180.270004 
0 1:182.00 2:182.240005 3:177.960007 4:181.759995 
0 1:180.220001 2:184.539993 3:177.190002 4:182.899994 
1 1:176.889999 2:180.369995 3:176.889999 4:180.220001 
1 1:174.229996 2:177.160004 3:173.960007 4:175.820007 
1 1:174.240005 2:175.539993 3:173.119995 4:173.639999 
0 1:174.130005 2:175.169998 3:173.289993 4:173.839996 
1 1:175.070007 2:175.449997 3:172.919998 4:173.770004 
0 1:175.910004 2:176.309998 3:174.509995 4:176.039993 
1 1:175.25 2:177.009995 3:175.00 4:175.360001 
1 1:176.410004 2:176.410004 3:174.600006 4:175.279999 
0 1:181.259995 2:181.259995 3:175.759995 4:176.199997 
0 1:181.00 2:181.960007 3:180.00 4:181.610001 
1 1:179.940002 2:180.389999 3:178.779999 4:180.300003 
1 1:178.130005 2:178.970001 3:176.279999 4:178.779999 
0 1:178.740005 2:179.789993 3:177.470001 4:179.50 
1 1:180.779999 2:180.779999 3:178.440002 4:178.979996 
0 1:179.509995 2:181.050003 3:178.559998 4:180.679993 
1 1:178.809998 2:178.809998 3:176.529999 4:178.339996 
1 1:178.720001 2:179.639999 3:177.279999 4:177.589996 
0 1:178.729996 2:179.309998 3:176.639999 4:178.589996 
