1 1:97.099998 2:98.50 3:96.610001 4:98.419998 
1 1:96.300003 2:97.599998 3:96.110001 4:97.449997 
1 1:96.190002 2:96.599998 3:95.169998 4:96.190002 
0 1:95.379997 2:97.059998 3:95.379997 4:96.900002 
1 1:95.239998 2:95.889999 3:94.93 4:95.190002 
1 1:94.669998 2:95.110001 3:93.760002 4:95.080002 
0 1:94.360001 2:95.400002 3:94.050003 4:95.129997 
1 1:92.489998 2:93.660004 3:92.190002 4:93.610001 
1 1:94.470001 2:94.690002 3:93.059998 4:93.089996 
0 1:95.279999 2:96.519997 3:95.220001 4:95.800003 
0 1:94.379997 2:96.040001 3:94.160004 4:95.800003 
1 1:92.849998 2:94.239998 3:92.849998 4:94.029999 
1 1:92.82 2:93.870003 3:92.459999 4:92.660004 
0 1:93.029999 2:94.25 3:92.50 4:93.830002 
1 1:91.57 2:92.300003 3:91.349998 4:92.279999 
1 1:91.629997 2:92.220001 3:90.910004 4:91.220001 
0 1:91.550003 2:92.309998 3:91.370003 4:91.68 
0 1:93.449997 2:94.089996 3:91.309998 4:91.959999 
0 1:91.879997 2:93.919998 3:91.860001 4:93.389999 
1 1:90.690002 2:91.790001 3:90.010002 4:91.379997 
1 1:91.059998 2:92.540001 3:90.709999 4:90.970001 
0 1:92.199997 2:92.230003 3:89.660004 4:91.279999 
0 1:94.75 2:94.75 3:92.260002 4:92.370003 
0 1:95.480003 2:96.779999 3:95.110001 4:96.150002 
1 1:93.610001 2:95.330002 3:92.75 4:95.290001 
1 1:93.849998 2:94.709999 3:93.07 4:93.089996 
0 1:92.790001 2:93.68 3:92.440002 4:93.269997 
1 1:94.220001 2:94.220001 3:92.449997 4:93.18 
0 1:96.00 2:96.00 3:94.150002 4:94.290001 
0 1:94.349998 2:96.540001 3:94.169998 4:96.010002 
1 1:93.660004 2:94.419998 3:93.389999 4:93.940002 
1 1:93.43 2:94.029999 3:93.07 4:93.690002 
0 1:94.540001 2:94.669998 3:93.080002 4:93.900002 
0 1:92.860001 2:94.019997 3:92.830002 4:93.989998 
1 1:93.110001 2:93.50 3:92.489998 4:93.139999 
1 1:92.160004 2:93.129997 3:92.160004 4:92.75 
0 1:93.00 2:93.849998 3:92.709999 4:93.110001 
1 1:92.910004 2:93.07 3:92.160004 4:92.760002 
0 1:92.919998 2:93.220001 3:91.800003 4:92.839996 
1 1:92.260002 2:92.660004 3:91.970001 4:92.389999 
1 1:92.480003 2:92.809998 3:91.919998 4:92.00 
0 1:91.82 2:93.120003 3:91.660004 4:92.730003 
