1 1:78.879997 2:80.629997 3:78.510002 4:80.620003 
1 1:77.809998 2:79.07 3:77.809998 4:78.75 
1 1:78.029999 2:78.599998 3:77.400002 4:77.779999 
0 1:76.849998 2:78.110001 3:76.419998 4:77.949997 
1 1:77.629997 2:78.029999 3:76.50 4:76.870003 
0 1:76.169998 2:77.830002 3:75.50 4:77.449997 
1 1:75.650002 2:76.470001 3:73.739998 4:75.860001 
1 1:79.209999 2:79.279999 3:75.169998 4:75.580002 
0 1:81.290001 2:81.370003 3:79.150002 4:79.239998 
0 1:78.949997 2:81.690002 3:78.93 4:81.370003 
1 1:79.419998 2:79.559998 3:78.529999 4:78.730003 
0 1:79.18 2:79.919998 3:78.540001 4:79.169998 
0 1:77.900002 2:79.699997 3:77.769997 4:79.349998 
1 1:78.519997 2:78.559998 3:76.93 4:77.75 
0 1:79.07 2:79.18 3:77.559998 4:78.260002 
0 1:79.800003 2:80.610001 3:78.760002 4:78.989998 
0 1:78.760002 2:80.169998 3:78.540001 4:79.620003 
1 1:77.599998 2:78.940002 3:77.029999 4:78.830002 
1 1:77.00 2:78.419998 3:77.00 4:77.620003 
1 1:77.470001 2:78.080002 3:76.139999 4:76.379997 
0 1:75.800003 2:77.940002 3:75.529999 4:77.449997 
1 1:79.970001 2:80.059998 3:76.190002 4:76.790001 
0 1:78.730003 2:80.989998 3:78.449997 4:79.440002 
0 1:81.059998 2:82.449997 3:80.68 4:81.489998 
1 1:81.089996 2:82.029999 3:80.330002 4:81.080002 
1 1:79.949997 2:81.720001 3:79.029999 4:80.220001 
0 1:79.120003 2:82.290001 3:79.120003 4:80.519997 
1 1:78.830002 2:81.93 3:77.860001 4:79.120003 
1 1:78.639999 2:78.760002 3:77.18 4:77.839996 
0 1:79.639999 2:80.139999 3:77.43 4:78.519997 
0 1:80.779999 2:81.419998 3:78.550003 4:79.449997 
0 1:83.279999 2:84.43 3:82.580002 4:82.720001 
1 1:82.949997 2:84.110001 3:82.50 4:82.580002 
0 1:84.190002 2:84.790001 3:82.889999 4:82.940002 
0 1:81.910004 2:84.370003 3:81.779999 4:84.150002 
1 1:82.150002 2:82.989998 3:82.00 4:82.870003 
1 1:82.699997 2:82.82 3:81.599998 4:82.519997 
0 1:84.220001 2:84.360001 3:82.620003 4:82.760002 
0 1:83.18 2:84.400002 3:83.110001 4:84.010002 
1 1:82.769997 2:83.220001 3:82.160004 4:82.32 
0 1:82.349998 2:83.980003 3:82.349998 4:82.589996 
1 1:82.089996 2:82.519997 3:80.779999 4:81.760002 
