0 1:77.620003 2:77.949997 3:76.769997 4:77.589996 
0 1:79.07 2:79.370003 3:77.699997 4:78.099998 
0 1:78.610001 2:79.43 3:78.57 4:79.199997 
1 1:76.690002 2:78.699997 3:76.690002 4:78.529999 
1 1:76.699997 2:76.860001 3:75.269997 4:76.82 
1 1:74.720001 2:76.059998 3:74.459999 4:76.059998 
1 1:73.629997 2:74.57 3:73.470001 4:74.230003 
1 1:71.610001 2:73.919998 3:71.239998 4:73.68 
1 1:72.029999 2:72.839996 3:71.00 4:71.669998 
0 1:73.209999 2:73.580002 3:72.279999 4:72.440002 
0 1:73.769997 2:73.879997 3:72.57 4:73.099998 
0 1:74.400002 2:74.739998 3:73.669998 4:73.93 
0 1:72.800003 2:74.709999 3:72.099998 4:74.190002 
1 1:73.470001 2:74.550003 3:73.160004 4:73.330002 
1 1:71.349998 2:73.580002 3:71.18 4:73.099998 
1 1:69.57 2:72.599998 3:68.480003 4:71.779999 
1 1:69.610001 2:71.449997 3:69.279999 4:71.349998 
1 1:70.099998 2:70.459999 3:69.339996 4:69.720001 
0 1:71.730003 2:72.25 3:69.940002 4:70.059998 
0 1:71.870003 2:73.370003 3:71.440002 4:71.449997 
0 1:70.949997 2:71.739998 3:69.849998 4:71.529999 
0 1:69.57 2:71.940002 3:69.57 4:71.629997 
1 1:66.400002 2:69.599998 3:65.760002 4:69.269997 
1 1:67.169998 2:67.57 3:66.669998 4:67.459999 
1 1:66.93 2:67.330002 3:66.639999 4:67.25 
1 1:66.07 2:66.959999 3:65.75 4:66.169998 
1 1:67.279999 2:67.300003 3:65.43 4:65.620003 
0 1:65.760002 2:67.529999 3:65.57 4:67.18 
1 1:66.360001 2:67.330002 3:65.389999 4:65.800003 
0 1:67.220001 2:67.540001 3:66.279999 4:66.769997 
0 1:66.690002 2:67.809998 3:66.650002 4:67.150002 
1 1:68.68 2:68.860001 3:66.510002 4:66.760002 
0 1:67.669998 2:69.400002 3:67.669998 4:68.849998 
1 1:67.599998 2:68.050003 3:66.860001 4:68.00 
0 1:68.379997 2:69.080002 3:68.330002 4:68.860001 
1 1:67.43 2:68.059998 3:66.760002 4:67.93 
0 1:68.139999 2:68.410004 3:67.650002 4:68.019997 
0 1:68.120003 2:68.330002 3:67.279999 4:68.120003 
1 1:68.129997 2:68.440002 3:67.809998 4:67.889999 
0 1:68.389999 2:68.589996 3:67.809998 4:67.889999 
0 1:68.57 2:69.120003 3:68.519997 4:68.589996 
1 1:68.940002 2:69.00 3:68.209999 4:68.489998 
