0 1:86.510002 2:87.57 3:85.300003 4:85.900002 
0 1:86.599998 2:86.599998 3:85.269997 4:86.010002 
0 1:86.300003 2:87.370003 3:86.019997 4:86.730003 
1 1:84.449997 2:86.690002 3:84.080002 4:86.519997 
1 1:84.599998 2:84.980003 3:83.959999 4:84.440002 
1 1:84.639999 2:85.419998 3:84.239998 4:84.379997 
1 1:84.029999 2:84.739998 3:83.57 4:83.980003 
0 1:85.25 2:85.25 3:83.559998 4:84.129997 
0 1:86.68 2:87.120003 3:85.339996 4:85.389999 
0 1:85.129997 2:87.139999 3:85.129997 4:86.620003 
1 1:86.540001 2:86.75 3:85.120003 4:85.449997 
0 1:86.959999 2:87.959999 3:86.639999 4:87.940002 
1 1:85.959999 2:87.110001 3:85.959999 4:86.889999 
1 1:85.790001 2:86.650002 3:85.279999 4:86.260002 
1 1:84.699997 2:85.889999 3:84.489998 4:85.629997 
1 1:86.129997 2:86.18 3:84.25 4:84.279999 
0 1:85.720001 2:86.199997 3:85.129997 4:85.949997 
1 1:85.379997 2:86.029999 3:84.790001 4:85.32 
0 1:87.099998 2:87.32 3:85.059998 4:85.43 
0 1:85.00 2:87.720001 3:84.949997 4:87.199997 
1 1:83.849998 2:84.910004 3:83.550003 4:84.589996 
1 1:83.760002 2:84.639999 3:83.25 4:83.900002 
1 1:81.730003 2:83.889999 3:80.550003 4:83.43 
1 1:82.489998 2:83.540001 3:82.360001 4:83.300003 
1 1:82.260002 2:82.760002 3:81.989998 4:82.629997 
1 1:81.919998 2:82.760002 3:81.07 4:81.120003 
0 1:81.440002 2:81.82 3:80.360001 4:81.279999 
1 1:82.129997 2:82.599998 3:80.910004 4:81.059998 
0 1:83.889999 2:83.93 3:81.650002 4:82.209999 
0 1:83.449997 2:84.400002 3:83.260002 4:83.410004 
1 1:82.510002 2:83.720001 3:82.209999 4:83.269997 
1 1:82.639999 2:82.889999 3:82.050003 4:82.809998 
1 1:83.279999 2:83.300003 3:82.160004 4:82.540001 
0 1:83.480003 2:83.940002 3:81.919998 4:83.300003 
0 1:83.389999 2:84.25 3:83.239998 4:83.879997 
1 1:81.709999 2:82.870003 3:81.709999 4:82.809998 
1 1:80.940002 2:82.690002 3:80.599998 4:82.470001 
1 1:81.709999 2:81.860001 3:80.839996 4:80.900002 
0 1:82.080002 2:82.690002 3:80.339996 4:81.449997 
0 1:79.940002 2:82.82 3:79.110001 4:81.82 
1 1:77.099998 2:77.900002 3:76.139999 4:76.160004 
0 1:77.25 2:77.25 3:76.400002 4:76.620003 
