0 1:13.47 2:13.62 3:13.25 4:13.30 
0 1:13.46 2:13.53 3:13.27 4:13.51 
1 1:13.38 2:13.64 3:13.26 4:13.46 
1 1:13.17 2:13.25 3:13.10 4:13.21 
0 1:13.08 2:13.26 3:12.89 4:13.22 
1 1:13.04 2:13.17 3:12.95 4:13.03 
1 1:13.01 2:13.11 3:12.80 4:12.94 
0 1:12.60 2:13.14 3:12.55 4:13.03 
1 1:12.49 2:12.60 3:12.43 4:12.46 
1 1:12.23 2:12.38 3:12.19 4:12.28 
1 1:12.44 2:12.58 3:12.21 4:12.26 
0 1:12.67 2:12.68 3:12.53 4:12.56 
0 1:12.57 2:12.68 3:12.49 4:12.61 
1 1:12.59 2:12.59 3:12.40 4:12.52 
1 1:12.59 2:12.60 3:12.42 4:12.44 
0 1:12.30 2:12.54 3:12.27 4:12.50 
1 1:11.98 2:12.27 3:11.90 4:12.23 
1 1:11.83 2:11.98 3:11.77 4:11.93 
0 1:11.93 2:11.96 3:11.64 4:11.96 
0 1:11.84 2:12.20 3:11.81 4:11.96 
1 1:11.58 2:11.75 3:11.50 4:11.70 
1 1:11.03 2:11.66 3:11.02 4:11.60 
1 1:10.45 2:10.97 3:10.36 4:10.91 
1 1:10.54 2:10.54 3:10.13 4:10.25 
0 1:10.39 2:10.55 3:10.39 4:10.45 
1 1:10.26 2:10.35 3:10.07 4:10.16 
0 1:10.33 2:10.39 3:10.19 4:10.25 
0 1:10.53 2:10.55 3:10.24 4:10.33 
0 1:10.65 2:10.71 3:10.44 4:10.56 
0 1:10.51 2:10.65 3:10.51 4:10.60 
1 1:10.76 2:10.78 3:10.47 4:10.56 
0 1:10.78 2:10.86 3:10.66 4:10.75 
1 1:10.24 2:10.78 3:10.23 4:10.70 
1 1:10.10 2:10.24 3:10.04 4:10.19 
1 1:10.15 2:10.17 3:10.07 4:10.10 
1 1:9.98 2:10.11 3:9.95 4:10.06 
0 1:10.01 2:10.17 3:9.99 4:10.14 
1 1:9.84 2:10.07 3:9.80 4:10.03 
0 1:9.75 2:9.81 3:9.65 4:9.80 
1 1:9.84 2:9.86 3:9.65 4:9.66 
0 1:9.83 2:9.94 3:9.77 4:9.82 
1 1:9.85 2:9.92 3:9.57 4:9.72 
