1 1:28.309999 2:28.370001 3:27.780001 4:28.01 
0 1:28.82 2:28.860001 3:28.190001 4:28.459999 
0 1:28.43 2:29.209999 3:28.280001 4:28.66 
1 1:27.51 2:27.76 3:27.309999 4:27.75 
1 1:26.889999 2:26.99 3:26.610001 4:26.93 
0 1:26.950001 2:27.290001 3:26.719999 4:26.93 
1 1:26.870001 2:26.91 3:26.51 4:26.83 
0 1:27.60 2:27.67 3:26.83 4:26.98 
0 1:26.780001 2:27.65 3:26.75 4:27.540001 
1 1:26.440001 2:26.98 3:26.32 4:26.780001 
1 1:26.51 2:26.73 3:26.280001 4:26.48 
0 1:26.34 2:26.610001 3:26.24 4:26.51 
1 1:26.33 2:26.58 3:26.190001 4:26.389999 
1 1:26.42 2:26.440001 3:26.120001 4:26.34 
0 1:26.50 2:26.60 3:26.09 4:26.360001 
1 1:26.280001 2:26.50 3:26.08 4:26.35 
1 1:26.09 2:26.290001 3:25.860001 4:26.24 
0 1:26.40 2:26.629999 3:26.00 4:26.24 
1 1:26.040001 2:26.18 3:25.799999 4:26.10 
1 1:25.58 2:26.200001 3:25.58 4:25.959999 
1 1:25.09 2:25.629999 3:25.049999 4:25.41 
1 1:25.41 2:25.82 3:24.969999 4:25.190001 
0 1:24.969999 2:25.540001 3:24.74 4:25.280001 
0 1:25.540001 2:25.66 3:25.200001 4:25.49 
0 1:25.459999 2:25.60 3:25.360001 4:25.49 
1 1:25.00 2:25.309999 3:24.889999 4:24.90 
0 1:25.18 2:25.209999 3:24.889999 4:24.91 
0 1:25.85 2:25.98 3:25.09 4:25.15 
0 1:25.799999 2:25.969999 3:25.52 4:25.85 
0 1:26.200001 2:26.42 3:26.15 4:26.34 
1 1:26.27 2:26.58 3:26.08 4:26.200001 
1 1:26.33 2:26.559999 3:25.879999 4:26.190001 
1 1:25.59 2:26.84 3:25.40 4:26.15 
1 1:23.66 2:23.76 3:23.139999 4:23.719999 
1 1:23.309999 2:23.68 3:23.200001 4:23.66 
1 1:22.639999 2:23.15 3:22.459999 4:23.129999 
1 1:22.700001 2:22.83 3:22.620001 4:22.75 
0 1:22.84 2:23.049999 3:22.700001 4:22.950001 
1 1:22.66 2:23.139999 3:22.51 4:22.85 
1 1:22.799999 2:22.83 3:22.41 4:22.43 
0 1:23.35 2:23.52 3:22.73 4:22.75 
0 1:23.26 2:23.389999 3:22.950001 4:23.209999 
