1 1:86.129997 2:86.370003 3:84.559998 4:85.379997 
0 1:85.620003 2:86.599998 3:84.599998 4:86.019997 
0 1:86.330002 2:86.650002 3:84.599998 4:86.220001 
0 1:84.400002 2:86.389999 3:83.720001 4:86.220001 
1 1:84.610001 2:85.25 3:83.360001 4:83.800003 
0 1:86.50 2:86.650002 3:85.459999 4:85.480003 
0 1:86.790001 2:87.18 3:85.480003 4:85.720001 
0 1:89.169998 2:89.760002 3:86.620003 4:86.730003 
0 1:88.480003 2:89.809998 3:88.43 4:88.709999 
1 1:88.110001 2:88.870003 3:87.330002 4:87.949997 
0 1:87.879997 2:88.919998 3:87.290001 4:88.480003 
1 1:87.830002 2:88.029999 3:87.239998 4:87.790001 
0 1:86.849998 2:88.25 3:86.849998 4:88.120003 
1 1:89.849998 2:89.900002 3:86.32 4:86.699997 
0 1:87.75 2:89.099998 3:87.739998 4:88.739998 
1 1:85.910004 2:87.660004 3:85.870003 4:87.57 
1 1:85.00 2:86.739998 3:85.00 4:86.00 
1 1:85.010002 2:86.400002 3:84.480003 4:85.010002 
0 1:85.209999 2:85.919998 3:83.970001 4:85.18 
1 1:82.459999 2:85.980003 3:82.25 4:85.099998 
1 1:81.089996 2:82.139999 3:80.239998 4:82.050003 
1 1:83.760002 2:85.010002 3:81.099998 4:81.110001 
0 1:80.18 2:83.720001 3:79.300003 4:82.480003 
0 1:91.389999 2:92.989998 3:89.989998 4:92.550003 
1 1:91.980003 2:93.089996 3:90.709999 4:91.50 
1 1:87.709999 2:89.169998 3:87.510002 4:87.970001 
0 1:87.550003 2:89.25 3:87.220001 4:87.980003 
1 1:85.809998 2:88.029999 3:85.360001 4:87.480003 
1 1:88.139999 2:88.449997 3:85.519997 4:86.089996 
0 1:89.150002 2:89.239998 3:87.620003 4:87.760002 
0 1:89.269997 2:90.669998 3:87.849998 4:88.760002 
0 1:89.230003 2:89.339996 3:88.480003 4:89.199997 
1 1:89.730003 2:90.459999 3:88.580002 4:88.790001 
0 1:89.940002 2:90.800003 3:89.370003 4:90.480003 
1 1:91.120003 2:91.169998 3:90.099998 4:90.120003 
0 1:90.459999 2:91.059998 3:90.190002 4:90.330002 
0 1:92.370003 2:92.870003 3:90.669998 4:91.470001 
0 1:92.57 2:93.739998 3:91.080002 4:92.93 
1 1:94.370003 2:96.82 3:92.440002 4:92.580002 
0 1:94.529999 2:95.440002 3:94.18 4:94.709999 
1 1:94.099998 2:95.110001 3:93.779999 4:94.550003 
1 1:92.809998 2:93.580002 3:91.790001 4:93.260002 
