1 1:121.57 2:122.25 3:121.260002 4:121.739998 
1 1:120.57 2:121.269997 3:120.209999 4:121.260002 
1 1:120.050003 2:121.150002 3:119.50 4:120.449997 
1 1:119.410004 2:120.129997 3:118.470001 4:119.919998 
1 1:119.290001 2:119.650002 3:118.599998 4:119.25 
0 1:119.449997 2:120.339996 3:119.029999 4:119.290001 
1 1:118.00 2:118.50 3:117.709999 4:118.239998 
0 1:118.959999 2:118.959999 3:117.870003 4:118.470001 
0 1:120.220001 2:120.489998 3:119.269997 4:119.269997 
0 1:120.379997 2:120.790001 3:119.019997 4:120.68 
0 1:120.379997 2:121.870003 3:120.230003 4:121.82 
1 1:120.080002 2:120.989998 3:119.919998 4:120.660004 
1 1:119.730003 2:120.760002 3:119.730003 4:120.139999 
1 1:119.50 2:120.290001 3:118.879997 4:119.690002 
1 1:119.800003 2:120.50 3:118.959999 4:119.50 
0 1:119.260002 2:120.239998 3:118.910004 4:120.00 
1 1:118.889999 2:119.50 3:118.279999 4:119.449997 
1 1:118.860001 2:119.599998 3:118.470001 4:119.209999 
1 1:117.580002 2:118.480003 3:117.019997 4:118.32 
1 1:114.989998 2:118.75 3:114.720001 4:117.860001 
1 1:114.669998 2:114.959999 3:114.169998 4:114.220001 
0 1:115.029999 2:115.040001 3:113.779999 4:114.510002 
0 1:112.089996 2:115.419998 3:111.800003 4:114.980003 
1 1:113.010002 2:114.25 3:113.00 4:114.110001 
1 1:112.00 2:113.279999 3:111.879997 4:112.82 
1 1:111.989998 2:112.00 3:110.830002 4:111.040001 
0 1:112.739998 2:112.849998 3:111.519997 4:111.720001 
0 1:112.099998 2:112.769997 3:111.82 4:112.389999 
1 1:112.650002 2:112.769997 3:111.949997 4:112.25 
0 1:112.459999 2:112.730003 3:111.790001 4:112.57 
1 1:112.260002 2:112.349998 3:111.529999 4:112.099998 
1 1:112.169998 2:112.489998 3:111.779999 4:112.080002 
0 1:112.269997 2:112.699997 3:111.400002 4:112.110001 
0 1:113.50 2:113.540001 3:112.669998 4:112.720001 
0 1:114.25 2:114.50 3:112.639999 4:113.57 
0 1:113.269997 2:114.50 3:112.75 4:113.93 
1 1:111.300003 2:111.300003 3:110.330002 4:110.57 
0 1:111.709999 2:111.769997 3:111.120003 4:111.260002 
1 1:112.889999 2:113.089996 3:111.230003 4:111.25 
0 1:113.910004 2:114.400002 3:112.099998 4:112.410004 
0 1:114.900002 2:115.110001 3:114.07 4:114.089996 
0 1:114.139999 2:115.739998 3:114.07 4:115.410004 
