1 1:199.289993 2:199.539993 3:196.589996 4:198.639999 
0 1:201.509995 2:201.509995 3:198.899994 4:199.860001 
0 1:199.570007 2:202.600006 3:199.169998 4:201.270004 
1 1:195.009995 2:200.169998 3:194.410004 4:199.970001 
1 1:195.75 2:196.589996 3:193.589996 4:195.00 
1 1:192.029999 2:195.270004 3:190.919998 4:194.960007 
1 1:191.880005 2:192.960007 3:189.440002 4:190.00 
0 1:197.509995 2:199.160004 3:190.970001 4:191.479996 
0 1:199.910004 2:201.479996 3:197.440002 4:197.440002 
0 1:199.940002 2:201.600006 3:199.169998 4:200.100006 
1 1:200.360001 2:200.990005 3:198.309998 4:199.369995 
0 1:201.009995 2:201.75 3:199.610001 4:201.00 
1 1:199.949997 2:201.580002 3:198.580002 4:200.699997 
1 1:200.580002 2:200.75 3:198.580002 4:200.190002 
1 1:200.660004 2:201.690002 3:198.710007 4:199.75 
0 1:200.389999 2:200.399994 3:198.979996 4:199.970001 
0 1:198.619995 2:200.509995 3:197.490005 4:200.270004 
1 1:196.639999 2:198.149994 3:195.589996 4:197.559998 
1 1:199.550003 2:201.229996 3:195.990005 4:197.160004 
0 1:201.039993 2:202.429993 3:196.880005 4:197.25 
0 1:202.289993 2:204.309998 3:199.00 4:199.610001 
0 1:199.110001 2:205.259995 3:198.210007 4:202.380005 
1 1:191.669998 2:198.580002 3:191.029999 4:197.770004 
1 1:193.820007 2:196.080002 3:192.369995 4:195.190002 
1 1:192.949997 2:196.279999 3:191.259995 4:194.729996 
1 1:186.100006 2:193.009995 3:184.139999 4:190.75 
1 1:179.600006 2:179.860001 3:175.520004 4:176.979996 
0 1:178.210007 2:182.490005 3:178.00 4:178.589996 
0 1:183.429993 2:184.380005 3:177.809998 4:178.979996 
0 1:185.440002 2:186.110001 3:184.110001 4:184.300003 
0 1:185.580002 2:188.309998 3:184.429993 4:184.699997 
0 1:186.990005 2:187.779999 3:182.679993 4:185.690002 
0 1:185.389999 2:188.50 3:185.389999 4:186.789993 
1 1:197.139999 2:197.649994 3:185.710007 4:185.899994 
0 1:198.380005 2:200.529999 3:197.740005 4:198.300003 
1 1:194.949997 2:197.589996 3:194.089996 4:196.869995 
1 1:195.100006 2:197.050003 3:194.059998 4:196.570007 
1 1:196.389999 2:196.720001 3:194.039993 4:195.399994 
0 1:197.869995 2:197.869995 3:195.179993 4:195.570007 
0 1:196.009995 2:196.889999 3:194.710007 4:195.630005 
0 1:196.649994 2:198.100006 3:196.149994 4:196.460007 
1 1:193.789993 2:196.020004 3:193.360001 4:194.899994 
