1 1:82.629997 2:82.739998 3:81.949997 4:82.599998 
0 1:83.309998 2:83.43 3:82.639999 4:82.790001 
0 1:83.32 2:83.57 3:82.650002 4:83.300003 
1 1:82.339996 2:83.279999 3:82.050003 4:83.269997 
1 1:81.190002 2:82.269997 3:80.790001 4:82.220001 
1 1:79.849998 2:80.919998 3:79.32 4:80.919998 
1 1:79.160004 2:79.68 3:78.699997 4:79.50 
1 1:80.25 2:80.849998 3:78.809998 4:79.190002 
0 1:81.120003 2:81.199997 3:80.099998 4:80.25 
0 1:80.660004 2:81.300003 3:80.650002 4:81.110001 
1 1:80.82 2:81.07 3:80.550003 4:80.860001 
0 1:80.25 2:81.199997 3:80.25 4:80.980003 
1 1:80.360001 2:81.010002 3:80.00 4:80.260002 
0 1:80.040001 2:80.639999 3:79.589996 4:80.309998 
1 1:80.209999 2:80.400002 3:79.07 4:79.830002 
0 1:80.599998 2:80.599998 3:79.879997 4:79.980003 
0 1:80.389999 2:81.43 3:79.93 4:80.349998 
0 1:81.790001 2:82.199997 3:80.489998 4:80.510002 
0 1:80.900002 2:81.830002 3:80.690002 4:81.800003 
1 1:80.50 2:81.370003 3:80.459999 4:80.599998 
1 1:79.129997 2:80.50 3:79.010002 4:80.379997 
1 1:79.300003 2:79.830002 3:78.57 4:79.190002 
1 1:77.459999 2:79.440002 3:77.089996 4:78.959999 
1 1:77.830002 2:79.080002 3:77.519997 4:78.559998 
1 1:76.779999 2:77.739998 3:76.639999 4:77.709999 
1 1:72.559998 2:76.019997 3:72.540001 4:75.900002 
1 1:71.709999 2:72.300003 3:71.239998 4:71.290001 
0 1:72.290001 2:72.75 3:71.510002 4:71.57 
0 1:72.900002 2:72.970001 3:71.82 4:72.32 
0 1:72.709999 2:73.040001 3:72.050003 4:72.580002 
0 1:73.559998 2:74.230003 3:72.75 4:72.830002 
0 1:73.669998 2:73.93 3:73.220001 4:73.480003 
0 1:74.07 2:74.410004 3:73.550003 4:73.580002 
0 1:74.489998 2:74.529999 3:73.739998 4:74.160004 
0 1:74.110001 2:74.910004 3:73.870003 4:74.489998 
1 1:73.110001 2:73.690002 3:72.980003 4:73.620003 
1 1:73.75 2:73.940002 3:73.400002 4:73.57 
0 1:74.029999 2:74.199997 3:73.43 4:73.800003 
0 1:73.790001 2:74.199997 3:73.68 4:73.800003 
1 1:73.660004 2:73.980003 3:73.089996 4:73.129997 
0 1:73.529999 2:74.050003 3:73.339996 4:73.580002 
1 1:73.550003 2:73.550003 3:72.300003 4:73.059998 
