1 1:89.849998 2:89.949997 3:87.540001 4:89.589996 
0 1:94.199997 2:94.269997 3:90.709999 4:91.82 
0 1:95.190002 2:96.620003 3:93.050003 4:93.480003 
0 1:92.839996 2:95.300003 3:92.099998 4:95.07 
1 1:92.209999 2:93.730003 3:91.57 4:93.389999 
1 1:89.989998 2:92.610001 3:89.00 4:91.879997 
1 1:86.25 2:88.800003 3:85.120003 4:88.449997 
1 1:92.099998 2:92.169998 3:84.769997 4:87.639999 
0 1:93.599998 2:94.160004 3:92.099998 4:92.199997 
0 1:94.00 2:94.440002 3:92.529999 4:93.25 
0 1:93.870003 2:94.739998 3:93.599998 4:94.110001 
0 1:94.419998 2:95.099998 3:93.410004 4:94.160004 
1 1:93.720001 2:95.25 3:92.769997 4:93.970001 
1 1:93.300003 2:93.739998 3:92.379997 4:93.650002 
1 1:94.089996 2:94.349998 3:92.400002 4:92.980003 
0 1:92.389999 2:94.330002 3:91.800003 4:93.360001 
1 1:92.309998 2:94.790001 3:90.650002 4:92.389999 
1 1:87.339996 2:92.559998 3:86.349998 4:91.629997 
1 1:84.290001 2:87.449997 3:83.93 4:86.190002 
1 1:88.089996 2:88.190002 3:83.620003 4:83.639999 
0 1:79.510002 2:88.769997 3:78.50 4:87.970001 
1 1:71.489998 2:71.50 3:66.760002 4:67.769997 
0 1:69.230003 2:70.900002 3:68.720001 4:69.959999 
0 1:71.540001 2:71.769997 3:70.50 4:71.160004 
0 1:69.550003 2:71.720001 3:69.50 4:71.269997 
1 1:67.510002 2:68.730003 3:66.580002 4:67.57 
0 1:69.080002 2:69.139999 3:66.639999 4:67.959999 
0 1:69.580002 2:70.519997 3:68.639999 4:68.760002 
0 1:71.419998 2:71.809998 3:68.290001 4:69.050003 
0 1:70.790001 2:71.629997 3:70.75 4:71.160004 
1 1:71.019997 2:72.099998 3:70.43 4:70.559998 
0 1:72.709999 2:72.849998 3:70.389999 4:70.68 
0 1:71.269997 2:72.949997 3:71.199997 4:72.160004 
1 1:70.589996 2:72.300003 3:70.25 4:71.870003 
1 1:68.00 2:70.790001 3:67.989998 4:70.709999 
1 1:67.489998 2:67.660004 3:66.900002 4:67.540001 
0 1:67.25 2:67.949997 3:66.300003 4:67.730003 
1 1:66.160004 2:66.779999 3:65.82 4:66.470001 
0 1:66.519997 2:66.989998 3:66.25 4:66.610001 
1 1:65.980003 2:66.599998 3:65.519997 4:65.610001 
0 1:66.150002 2:66.599998 3:65.599998 4:65.989998 
1 1:65.650002 2:65.800003 3:63.700001 4:65.349998 
