0 1:12.30 2:12.45 3:12.30 4:12.30 
0 1:12.20 2:12.50 3:12.20 4:12.40 
1 1:12.15 2:12.35 3:12.10 4:12.20 
1 1:12.05 2:12.25 3:12.00 4:12.15 
1 1:12.05 2:12.15 3:11.95 4:12.05 
0 1:12.05 2:12.15 3:11.95 4:12.05 
0 1:12.05 2:12.15 3:12.00 4:12.05 
1 1:11.95 2:12.15 3:11.85 4:12.00 
1 1:11.90 2:12.03 3:11.78 4:11.95 
1 1:12.05 2:12.15 3:11.75 4:11.90 
0 1:12.15 2:12.33 3:12.05 4:12.10 
0 1:12.20 2:12.33 3:12.10 4:12.10 
0 1:12.05 2:12.15 3:11.95 4:12.10 
1 1:12.00 2:12.15 3:11.90 4:12.00 
0 1:12.20 2:12.25 3:12.00 4:12.05 
0 1:12.30 2:12.40 3:12.15 4:12.20 
0 1:12.35 2:12.50 3:12.25 4:12.35 
0 1:12.25 2:12.45 3:12.05 4:12.35 
0 1:12.45 2:12.60 3:12.30 4:12.35 
0 1:12.35 2:12.70 3:12.25 4:12.50 
1 1:12.20 2:12.45 3:12.15 4:12.35 
0 1:12.35 2:12.55 3:12.05 4:12.35 
0 1:12.00 2:12.55 3:11.85 4:12.35 
1 1:11.50 2:12.20 3:11.25 4:12.10 
0 1:12.30 2:12.60 3:12.20 4:12.50 
1 1:12.25 2:12.40 3:12.10 4:12.15 
0 1:12.10 2:12.40 3:12.05 4:12.15 
1 1:12.40 2:12.45 3:12.05 4:12.10 
0 1:12.50 2:12.70 3:12.20 4:12.40 
0 1:12.50 2:12.70 3:12.40 4:12.40 
0 1:12.60 2:12.80 3:12.45 4:12.50 
0 1:13.00 2:13.00 3:12.43 4:12.60 
0 1:12.90 2:13.25 3:12.90 4:13.15 
1 1:13.30 2:13.70 3:12.90 4:13.00 
0 1:13.75 2:13.85 3:13.20 4:13.20 
0 1:13.60 2:13.85 3:13.55 4:13.70 
0 1:14.25 2:14.25 3:13.50 4:13.80 
0 1:14.00 2:14.10 3:13.80 4:14.00 
1 1:14.00 2:14.05 3:13.65 4:13.90 
1 1:13.75 2:13.80 3:13.63 4:13.80 
1 1:14.30 2:14.30 3:13.65 4:13.75 
0 1:13.70 2:13.95 3:13.58 4:13.85 
