1 1:75.769997 2:77.209999 3:75.639999 4:77.139999 
1 1:75.18 2:76.269997 3:75.160004 4:76.190002 
1 1:74.610001 2:75.230003 3:74.07 4:75.139999 
1 1:74.739998 2:75.139999 3:74.50 4:75.110001 
1 1:74.120003 2:74.610001 3:73.739998 4:74.559998 
1 1:73.25 2:73.82 3:72.610001 4:73.82 
1 1:73.559998 2:74.389999 3:73.18 4:73.540001 
1 1:73.639999 2:73.769997 3:72.620003 4:73.129997 
0 1:75.519997 2:75.580002 3:73.900002 4:73.93 
0 1:76.370003 2:77.339996 3:76.370003 4:76.68 
1 1:75.529999 2:77.010002 3:75.529999 4:76.629997 
1 1:74.220001 2:75.470001 3:74.029999 4:75.339996 
1 1:74.269997 2:75.019997 3:73.830002 4:73.959999 
0 1:74.790001 2:75.349998 3:74.139999 4:75.059998 
1 1:73.50 2:74.269997 3:73.489998 4:74.099998 
1 1:73.669998 2:74.309998 3:72.919998 4:73.260002 
0 1:73.480003 2:74.360001 3:73.440002 4:73.75 
0 1:74.220001 2:74.440002 3:73.309998 4:73.75 
0 1:73.400002 2:74.290001 3:73.379997 4:74.059998 
1 1:72.980003 2:73.43 3:72.150002 4:73.080002 
0 1:72.849998 2:74.389999 3:72.849998 4:73.440002 
1 1:73.760002 2:73.800003 3:70.860001 4:72.82 
0 1:74.709999 2:75.050003 3:73.339996 4:73.980003 
0 1:75.230003 2:76.150002 3:75.089996 4:75.739998 
1 1:74.559998 2:75.059998 3:73.440002 4:75.050003 
1 1:74.650002 2:75.510002 3:73.989998 4:74.110001 
0 1:73.760002 2:75.00 3:73.760002 4:74.220001 
0 1:74.650002 2:74.760002 3:73.480003 4:74.510002 
0 1:76.209999 2:76.209999 3:74.599998 4:74.790001 
0 1:74.959999 2:76.589996 3:74.800003 4:76.129997 
1 1:74.470001 2:75.080002 3:74.110001 4:74.599998 
0 1:74.779999 2:75.269997 3:74.559998 4:74.879997 
0 1:75.139999 2:75.349998 3:74.550003 4:75.160004 
0 1:74.400002 2:75.220001 3:74.379997 4:75.199997 
1 1:74.440002 2:74.900002 3:74.040001 4:74.75 
1 1:74.629997 2:74.660004 3:73.599998 4:74.080002 
0 1:75.129997 2:75.459999 3:74.610001 4:74.75 
0 1:75.120003 2:75.199997 3:74.550003 4:74.959999 
0 1:74.650002 2:75.309998 3:73.910004 4:75.120003 
1 1:73.870003 2:74.489998 3:73.779999 4:74.239998 
1 1:73.970001 2:74.550003 3:73.629997 4:73.660004 
0 1:73.639999 2:74.889999 3:73.519997 4:74.309998 
