1 1:182.970001 2:186.380005 3:182.720001 4:186.119995 
1 1:183.75 2:185.160004 3:182.779999 4:183.429993 
0 1:182.399994 2:185.139999 3:180.449997 4:183.660004 
0 1:180.699997 2:183.759995 3:180.509995 4:183.75 
1 1:180.779999 2:182.139999 3:179.130005 4:180.110001 
0 1:179.509995 2:180.809998 3:178.029999 4:180.759995 
1 1:177.570007 2:180.789993 3:177.419998 4:179.360001 
1 1:178.919998 2:179.380005 3:175.869995 4:176.820007 
0 1:180.380005 2:181.610001 3:178.419998 4:179.649994 
0 1:181.949997 2:184.149994 3:181.350006 4:182.300003 
1 1:180.639999 2:182.949997 3:180.070007 4:181.330002 
1 1:181.740005 2:182.990005 3:180.350006 4:181.300003 
1 1:180.199997 2:180.949997 3:178.050003 4:180.759995 
0 1:180.600006 2:181.979996 3:180.139999 4:181.580002 
1 1:181.179993 2:182.970001 3:179.369995 4:179.679993 
0 1:180.559998 2:181.75 3:179.160004 4:180.830002 
1 1:182.759995 2:183.960007 3:180.130005 4:180.679993 
0 1:184.600006 2:185.229996 3:181.830002 4:182.940002 
0 1:186.429993 2:189.25 3:182.800003 4:184.229996 
0 1:181.279999 2:186.330002 3:179.199997 4:185.589996 
1 1:182.25 2:184.949997 3:181.979996 4:182.610001 
1 1:181.320007 2:186.470001 3:176.679993 4:182.289993 
1 1:180.139999 2:181.699997 3:174.910004 4:180.779999 
0 1:182.309998 2:183.889999 3:181.00 4:183.25 
1 1:182.979996 2:183.610001 3:180.789993 4:181.929993 
1 1:180.119995 2:180.520004 3:178.529999 4:180.279999 
1 1:179.610001 2:180.610001 3:178.110001 4:179.330002 
0 1:183.610001 2:184.220001 3:179.649994 4:179.679993 
0 1:184.990005 2:185.479996 3:181.639999 4:183.25 
0 1:184.270004 2:186.330002 3:182.880005 4:185.960007 
1 1:184.229996 2:186.029999 3:182.029999 4:182.880005 
0 1:188.149994 2:188.160004 3:181.850006 4:183.229996 
0 1:195.110001 2:196.070007 3:187.479996 4:188.380005 
0 1:196.339996 2:197.699997 3:195.820007 4:197.270004 
1 1:197.679993 2:199.190002 3:196.00 4:197.009995 
1 1:195.789993 2:196.899994 3:195.039993 4:196.550003 
0 1:199.00 2:199.139999 3:196.320007 4:197.259995 
0 1:198.330002 2:198.740005 3:195.100006 4:198.460007 
1 1:198.440002 2:199.690002 3:197.820007 4:198.440002 
1 1:197.25 2:198.300003 3:196.229996 4:197.490005 
1 1:199.050003 2:199.850006 3:196.990005 4:196.990005 
0 1:197.830002 2:199.220001 3:196.910004 4:198.789993 
