1 1:76.980003 2:77.43 3:76.349998 4:76.739998 
0 1:77.440002 2:77.690002 3:76.879997 4:77.389999 
0 1:77.349998 2:78.419998 3:77.160004 4:77.839996 
1 1:76.790001 2:77.18 3:76.099998 4:76.970001 
1 1:76.910004 2:77.080002 3:76.050003 4:76.769997 
0 1:78.010002 2:78.080002 3:76.800003 4:76.980003 
0 1:77.239998 2:78.400002 3:76.830002 4:77.940002 
1 1:76.860001 2:78.580002 3:76.589996 4:77.82 
1 1:77.730003 2:78.040001 3:77.059998 4:77.239998 
0 1:78.00 2:78.690002 3:77.75 4:78.410004 
1 1:78.370003 2:78.940002 3:77.50 4:77.720001 
0 1:78.849998 2:79.330002 3:78.419998 4:78.610001 
1 1:77.93 2:78.959999 3:77.580002 4:78.480003 
1 1:76.889999 2:78.129997 3:76.860001 4:77.870003 
1 1:76.120003 2:76.809998 3:76.00 4:76.510002 
1 1:75.900002 2:76.389999 3:75.690002 4:76.190002 
1 1:76.18 2:76.43 3:75.400002 4:76.129997 
1 1:77.50 2:78.300003 3:75.559998 4:76.029999 
1 1:72.309998 2:72.370003 3:71.169998 4:71.440002 
0 1:71.07 2:72.879997 3:70.849998 4:72.169998 
1 1:70.43 2:71.540001 3:70.199997 4:71.349998 
1 1:69.669998 2:72.199997 3:69.389999 4:70.540001 
1 1:66.290001 2:69.25 3:66.010002 4:68.809998 
1 1:67.360001 2:67.739998 3:66.650002 4:67.050003 
0 1:67.220001 2:67.57 3:67.029999 4:67.529999 
1 1:66.720001 2:67.309998 3:66.519997 4:66.529999 
0 1:68.540001 2:68.589996 3:66.550003 4:66.669998 
0 1:67.720001 2:68.489998 3:67.349998 4:68.260002 
1 1:68.660004 2:68.830002 3:67.400002 4:67.779999 
0 1:68.779999 2:69.25 3:68.510002 4:68.730003 
0 1:67.720001 2:69.25 3:67.720001 4:68.830002 
1 1:68.589996 2:68.779999 3:67.489998 4:67.620003 
0 1:67.879997 2:68.959999 3:67.790001 4:68.589996 
1 1:68.00 2:68.330002 3:67.800003 4:67.949997 
0 1:68.330002 2:68.699997 3:68.00 4:68.260002 
1 1:67.43 2:68.449997 3:67.25 4:68.230003 
1 1:67.620003 2:67.889999 3:67.449997 4:67.709999 
1 1:67.629997 2:67.699997 3:67.120003 4:67.529999 
1 1:67.550003 2:67.720001 3:67.010002 4:67.360001 
1 1:67.980003 2:68.00 3:67.089996 4:67.239998 
0 1:67.900002 2:68.550003 3:67.709999 4:68.110001 
1 1:67.669998 2:68.18 3:67.309998 4:67.889999 
