0 1:34.200001 2:34.23 3:33.119999 4:33.279999 
0 1:35.419998 2:35.490002 3:33.779999 4:34.189999 
0 1:34.299999 2:35.549999 3:34.299999 4:35.34 
1 1:33.619999 2:34.459999 3:33.380001 4:34.389999 
1 1:32.959999 2:33.759998 3:32.34 4:33.639999 
1 1:31.700001 2:33.259998 3:31.700001 4:33.189999 
1 1:31.549999 2:32.169998 3:31.030001 4:31.67 
1 1:31.35 2:32.52 3:31.299999 4:31.66 
1 1:32.540001 2:32.580002 3:31.440001 4:31.60 
0 1:32.50 2:32.810001 3:31.940001 4:32.419998 
1 1:33.43 2:33.52 3:32.349998 4:32.41 
0 1:34.310001 2:34.52 3:33.389999 4:33.560001 
0 1:35.00 2:36.490002 3:33.52 4:34.310001 
0 1:37.73 2:39.290001 3:37.200001 4:39.009998 
1 1:37.759998 2:38.32 3:37.099998 4:37.169998 
0 1:38.240002 2:38.27 3:37.119999 4:37.509998 
0 1:38.34 2:39.080002 3:38.07 4:38.830002 
0 1:39.34 2:39.709999 3:38.790001 4:39.119999 
0 1:39.25 2:39.529999 3:38.470001 4:39.369999 
1 1:37.970001 2:40.799999 3:37.950001 4:39.25 
1 1:36.139999 2:38.029999 3:35.779999 4:37.869999 
1 1:35.349998 2:37.41 3:34.919998 4:36.369999 
1 1:32.630001 2:34.59 3:32.27 4:34.439999 
1 1:32.509998 2:33.099998 3:32.040001 4:32.959999 
1 1:32.630001 2:32.970001 3:32.400002 4:32.599998 
1 1:32.599998 2:32.919998 3:32.040001 4:32.169998 
0 1:33.02 2:33.099998 3:32.490002 4:32.59 
0 1:33.720001 2:33.950001 3:32.84 4:32.860001 
0 1:33.450001 2:34.09 3:33.25 4:33.50 
1 1:33.790001 2:33.970001 3:33.110001 4:33.450001 
0 1:33.380001 2:34.09 3:33.380001 4:33.91 
1 1:34.110001 2:34.25 3:33.259998 4:33.50 
0 1:33.990002 2:34.59 3:33.880001 4:34.060001 
1 1:33.52 2:34.130001 3:33.110001 4:34.040001 
1 1:33.880001 2:34.099998 3:33.360001 4:33.740002 
1 1:33.400002 2:33.75 3:33.34 4:33.580002 
0 1:33.380001 2:33.68 3:33.139999 4:33.639999 
1 1:33.439999 2:33.720001 3:33.25 4:33.59 
1 1:35.00 2:35.00 3:33.200001 4:33.259998 
0 1:35.48 2:35.48 3:34.700001 4:34.77 
0 1:35.459999 2:35.799999 3:35.07 4:35.540001 
1 1:35.709999 2:35.779999 3:34.900002 4:35.150002 
