0 1:77.830002 2:77.940002 3:76.730003 4:77.199997 
0 1:77.400002 2:78.00 3:77.00 4:77.870003 
1 1:76.93 2:78.019997 3:76.379997 4:77.209999 
1 1:75.330002 2:77.010002 3:74.93 4:76.93 
1 1:74.190002 2:75.209999 3:74.029999 4:75.089996 
1 1:72.839996 2:74.00 3:72.839996 4:73.959999 
1 1:73.510002 2:73.510002 3:72.269997 4:72.32 
0 1:72.400002 2:73.839996 3:72.120003 4:73.839996 
1 1:72.970001 2:73.139999 3:71.870003 4:71.989998 
0 1:73.209999 2:73.620003 3:72.760002 4:72.860001 
0 1:73.910004 2:73.970001 3:72.129997 4:73.00 
0 1:74.650002 2:74.690002 3:74.169998 4:74.199997 
0 1:73.660004 2:74.540001 3:73.660004 4:74.510002 
1 1:73.309998 2:74.440002 3:73.169998 4:74.330002 
1 1:72.360001 2:73.300003 3:72.300003 4:73.190002 
1 1:72.440002 2:72.809998 3:72.050003 4:72.260002 
0 1:71.25 2:72.50 3:71.25 4:72.470001 
1 1:71.300003 2:72.190002 3:71.089996 4:71.25 
0 1:71.75 2:71.830002 3:70.910004 4:71.620003 
0 1:69.800003 2:71.82 3:69.760002 4:71.650002 
1 1:68.870003 2:69.540001 3:68.610001 4:69.470001 
1 1:68.599998 2:69.800003 3:68.349998 4:68.940002 
1 1:66.139999 2:68.470001 3:65.480003 4:68.050003 
1 1:66.080002 2:67.480003 3:65.589996 4:67.260002 
1 1:65.449997 2:66.489998 3:65.269997 4:66.410004 
1 1:64.540001 2:65.019997 3:64.18 4:64.239998 
0 1:65.449997 2:65.589996 3:64.360001 4:64.400002 
0 1:65.400002 2:65.809998 3:64.720001 4:65.040001 
0 1:66.120003 2:66.169998 3:65.139999 4:65.389999 
0 1:65.339996 2:66.160004 3:65.32 4:65.839996 
1 1:64.339996 2:65.410004 3:64.139999 4:64.980003 
1 1:63.50 2:64.269997 3:62.599998 4:64.190002 
1 1:65.910004 2:65.970001 3:63.200001 4:63.32 
0 1:67.720001 2:68.849998 3:67.269997 4:67.860001 
0 1:69.120003 2:69.379997 3:67.980003 4:68.00 
1 1:68.260002 2:68.290001 3:67.699997 4:67.889999 
0 1:68.540001 2:68.769997 3:67.849998 4:68.650002 
1 1:68.50 2:69.019997 3:68.379997 4:68.599998 
1 1:67.940002 2:68.440002 3:67.900002 4:68.220001 
1 1:67.669998 2:67.93 3:67.230003 4:67.349998 
0 1:67.730003 2:68.150002 3:67.260002 4:67.769997 
1 1:65.50 2:67.599998 3:64.650002 4:67.199997 
